Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleis Nr.;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;ErfMandant;FID;1_koord;2_koord;BPUIC;lod
210;66.18;BDR;Boudry;Mittelperron;2/3;3;142.37;P 20;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;SBB;35370117;46.9592737495, 6.83409380925;46.9599418012,6.83568950766;8504208;http://lod.opentransportdata.swiss/didok/8504208
210;66.324;BDR;Boudry;Mittelperron;2/3;3;28.31;<=P20;;nicht vorhanden;nicht konstant;Ortsbeton;;Beton;;Kein;SBB;35368829;46.9599418012, 6.83568950766;46.9600827732,6.83599921716;8504208;http://lod.opentransportdata.swiss/didok/8504208
210;67.609;CLB;Colombier NE;Mittelperron;2/3;2 / 3;156.96;P 20;;vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;SBB;35331891;46.9672828494, 6.84828401428;46.9683263244,6.84966549914;8504209;http://lod.opentransportdata.swiss/didok/8504209
210;70.228;AUV;Auvernier;Mittelperron;2/3;2 / 3;195.68;P 25;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;SBB;35331910;46.979605362, 6.87617292881;46.9798055381,6.87872334503;8504219;http://lod.opentransportdata.swiss/didok/8504219
210;75.096;NE;Neuchatel;Mittelperron;2/3;2 / 3;129.98;P 42;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Andere;Acier;Kein;SBB;35323783;46.9960765065, 6.93324692289;46.9965469027,6.93481004906;8504221;http://lod.opentransportdata.swiss/didok/8504221
210;87.667;LD;Le Landeron;Mittelperron;2/3;2;170.03;P 30;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35313121;47.0566833384, 7.06565250932;47.0570060349,7.06783833433;8504225;http://lod.opentransportdata.swiss/didok/8504225
210;93.905;LIG;Ligerz;Hausperron;1;1;187.01;P 35;Inkl. Hilfstritt 15 cm.;vorhanden;nicht konstant;Fertigelement;;Beton;;Kein;SBB;35352525;47.0832453715, 7.13414174221;47.0842157026,7.13614406619;8504227;http://lod.opentransportdata.swiss/didok/8504227
210;95.968;TWN;Twann;Hausperron;1;;211.25;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35320685;47.0935877944, 7.15643801749;47.0945568659,7.15882139521;8504228;http://lod.opentransportdata.swiss/didok/8504228
210;104.375;BI;Biel/Bienne;Mittelperron;4/5;4;23.96;P 55;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;239469704;47.1331063965, 7.2412297527;47.1331948311,7.24094171274;8504300;http://lod.opentransportdata.swiss/didok/8504300
210;104.377;BI;Biel/Bienne;Mittelperron;4/5;;15.68;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;SBB;251982215;47.1330382632, 7.24120533077;47.1329771587,7.24139159142;8504300;http://lod.opentransportdata.swiss/didok/8504300
